//Index   Message
225       "Bạn cần %d zen để move"
226       "Bạn cần nâng cấp VIP để di chuyển!"
227  "Sát thủ Không Thể di chuyển"
228  "Bạn Không có các thiết bị chính xác để di chuyển "
229       "Chỉ có thành viên trong Gens mới có Thể move"
230       "Bạn cần max %d level để move"
231       "Bạn phải có tối thiểu %d Reset để di chuyển"
232       "Bạn phải có tối đa %d Reset để di chuyển"
                                                           
240  "Cao cấp không phải là hoạt động tại thời điểm này "
241  "Cao cấp không làm việc trong lâu đài bao vây "
242  "Bạn cần phải ở trong chủ sở hữu Guild của lâu đài để sử dụng cao cấp"
243  "Bạn cần phải là chủ sở hữu của Guild để sử dụng cao cấp "
244  "Các Guardsman không làm việc trong lâu đài bao vây "
245  "Bạn đã có trong một Guild "
246  "Bạn không có đủ cấp để tạo ra một Guild "
247  "Cửa hàng là rỗng "                                              
248       "[Tài Khoản]: Thường"
249       "[Tài Khoản]: VIP Đồng - Hết hạn:(%s)"
250       "[Tài Khoản]: VIP Bạc - Hết hạn:(%s)"
251       "[Tài Khoản]: VIP Vàng - Hết hạn:(%s)"
256       "%s, rất vui được gặp lại bạn!"
257       "Bạn cần 40 level để ném ring"
258       "Bạn cần 80 level để ném ring"
259       "Bạn không thể move đến map khác trông thời điểm này"
260       "Vật phẩm này không thuộc về bạn"
261       "Bạn không thể rời game khi đang giao dịch"
262       "Bạn không thể rời game khi đang mở thùng đồ"
263       "Bạn không thể rời game khi đang sự dụng Chaos Machine"
264       "Bạn không thể rời game khi đang huấn luyện PET"
265       "Bạn không thể rời game trong trạng thái chiến đấu"
266       "Bạn đã đạt cấp độ tối đa"
267       "Bạn đã đạt cấp độ(Master)tối đa"
268       "Bạn chỉ có thể cộng %d points"
269       "Bạn không thể nói được trong thời gian %d giây "
270       "Bạn không thể tự nói chuyện với bạn"
271       "Xin chào, tôi là cheerful guard"
272       "Nó không thể thực hiện di chuyển!"
273       "Bạn sẽ được dịch chuyển trong %d giây"
274       "Bạn không thể move tới map này khi đang cưỡi pet"
275       "Bạn cần đeo cánh để move tới map này"
276       "Gift CashShop"         
                                                                        
304     "Ice Walker appeared!"                                                                               
305     "You're not strong enough to get into Double Goer"                                                   
306     "Ice Walker was defeated!"        
                                                                   
320       "Selupan xuất hiện! Sự kiện Raklion Hatchery Event sẽ đóng cửa sau %d phút"
321       "Sự kiện Raklion Hatchery Event đã đóng"
322       "Người chơi %s tiêu diệt Selupan!"
323       "Sự kiện Raklion Hatchery Event sẻ mở cửa lại trong %d minute(s)"
324       "Sự kiện Raklion Hatchery Event đã mở cửa!"
325       "Sự kiện Raklion Hatchery Event đã đóng cửa"        
                                                              
336       "Tháp sàng lọc sẽ đóng cửa tại 60 phút (s) "
337       "Tháp sàng lọc sẽ đóng trong 20 phút (s) "
338       "Cánh cổng Kanturu sẽ mở trong 1 phút nữa"
339       "Trận chiến với Maya sắp bắt đầu, hãy sẵn sàng"
340       "Trận chiến sẽ tiếp tục sau 1 phút nữa"
341       "Nightmare xuất hiện! tiêu diệt để mở cổng Refinement Tower"
342       "Nightmare đã bị tiêu diệt! Refinement Tower đã mở cổng"
343       "Đã hết thời gian, Bạn sẽ bị dịch chuyển khỏi Event"
                                                 
352       "Castle Deep sẽ bắt đầu sau 5 phút nữa"
353       "Castle Deep bắt đầu"
354       "Castle Deep kết thúc"
355       "Erohim bị tiêu diệt bởi %s"
356       "%s bị tiêu diệt bởi %s"     
                                                             
368  "Balgarse gia nhập lực lượng với Hạm đội Kundun và đang chuẩn bị tấn công pháo đài của Crywolf "
369  "The Armada of Balgarse Đã sẵn sàng để tấn công pháo đài của Crywolf "
370  "The Armada of Balgarse là diễu hành vào pháo đài của Crywolf "
371  "Các Armada của Balgarse là tiếp cận các pháo đài của Crywolf "
372  "Không Elfa kết nối với các đền thờ, để lại bức tượng của sói Không được bảo vệ"
373  "Balgarse sẽ được sống cho đến khi kết thúc trận chiến "
374  "Phòng thủ thất bại! Tượng của sói thiêng liêng được lấy bởi Balgarse  "
375  "Các quốc phòng Đã thành công! Tượng của sói Thánh Đã được bảo vệ  "
376  "Thời gian kết nối với các đền thờ sói sẽ bắt đầu lúc %d phút (s) "
377  "Thời gian kết nối với các đền thờ sói sẽ bắt đầu lúc %d giây (s) "
378  "The Armada of Balgarse sẽ tấn công trong %d giây (s) "
379  "The Armada of Balgarse sẽ tấn công trong %d phút (s) "
380  "Nếu Không có sự bảo vệ của Elfas bức tượng của sói thiêng liêng Đã được vệ"
381  "Balgarse là tới! Bảo vệ bức tượng của sói thiêng liêng  "
382  "The Armada of Balgarse bắt đầu tấn công tượng của sói Sacred "
383  "The Armada of Balgarse Đã bị Đánh bại với sự giúp đỡ của các anh hùng"    
                                     
384  "MvP xếp hạng: %d "
385  "MvP kinh nghiệm: %d "
386  "Balgarse bị giết bởi %s! "
387  "Balgarse bị giết! "
388  "Elf tối %d bị giết bởi %s! "
389  "MvP điểm: %d "
390  "Kết nối với đền thờ %d "
391  " %s kết nối với đền thờ %d "
392  "Đền thờ %d được kết nối "
393  "Thời gian kết nối để Pedestal %d Không bắt đầu chưa"
394  "Đền thờ %d Đã được kết nối nhiều hơn 2 lần "
395  "Vị Trí để kết nối với đền thờ %d là sai " 
396  " %s đang cố gắng để kết nối với đền thờ %d "
397  "Bạn sẽ được kết nối với đền thờ trong 5 giây (s) " 
398  "Không di chuyển cho đến khi kết nối được hoàn thành " 
399  "Kết nối với đền thờ %d bị hủy bỏ"
400  "Các rào cản của bức tượng của sói Sacred biến mất " 
401  "Số kết nối: %d, cuộc sống của bức tượng: %d " 
402  "Rào cản của bức tượng của sói Sacred Đã được tạo ra"
403  "Kết nối yêu cầu cấp ELFA 260 hoặc cao hơn "
404	"[Vòng Quay]Bạn cần có [%d] Chaos để quay thưởng"
416  "Bao vây lâu đài kết thúc "
417  "Giai đoạn đăng ký lâu đài bao vây bắt đầu"
418  "Giai đoạn đăng ký biểu tượng của lâu đài bao vây bắt đầu"
419  "Giai đoạn lựa chọn của lâu đài bao vây Guild Đã bắt đầu " 
420  "Việc lựa chọn của lâu đài bao vây Guild Đã được hoàn thành "
421  "Giai đoạn chuẩn bị cho cuộc vây hãm bắt đầu *"
422  "Lâu đài bao vây sẽ bắt đầu lúc %d phút (s) "
423  "Bao vây lâu đài đang được tranh chấp"
424  "The Guild %s cũng Đã thành công trong việc bảo vệ lâu đài "
425  "Guild %s Đã trở thành chủ sở hữu mới của lâu đài "
426  "Chủ sở hữu của lâu đài Đã Không được xác định "
427  "Chỉ có những bức tượng của Keeper vẫn còn"
432  "Vị Trí Nhân vật %s Đã được thay đổi để trợ lý lãnh đạo Guild"
433  "Vị Trí Nhân vật %s Đã được thay đổi để Đánh Master"
434  "Nhân vật Vị Trí %s Đã được thay đổi thành viên Guild "
435  "Loại Guild %s Đã được thay đổi thành %d "
436       "Guild Đã tham gia liên minh %s"
437       "Guild bây giờ là kẻ thù của guild %s"
438       "Guild %s nhập liên minh %s"
439       "Guild rút khỏi liên minh"
440       "Guild %s rút khỏi liên minh %s"
441       "Guild Không phải là liên minh nhiều hơn %s"
442       "Guild Không phải là guild đối phương nhiều hơn %s"
443       "Liên minh Đã được hoàn tác %s"

448  "Bạn Không Thể gọi đá cuộc sống bên ngoài của lâu đài bao vây "
449  "Chỉ có liên minh tấn công có Thể gọi cuộc sống đá "
450  "Một hòn đá đời sống Đã được gọi "
451  "Bạn Không Thể gọi đá cuộc sống bên trong tháp rồng "
452  "Life Stone Đã được gọi thành công "
453  "Đá cuộc sống Không được gọi"
464  "Bạn Không Thể gọi những người lính bên ngoài lâu đài bao vây"
465  "Chỉ có liên minh phòng thủ có Thể gọi những người lính "
466  "Chỉ có các nhà lãnh đạo Guild và trợ lý của ông có Thể gọi những người lính "
467  "Số lượng tối đa của các binh sĩ vượt quá"
468  "Người lính Đã được gọi thành công "
469  "Người lính Không được gọi "
470  " [%s] Thách đấu Bạn %d WcoinC, Bạn Không đủ tiền. Nạp đi Không họ khinh"
471  "Bạn Không đủ %d WcoinC để thách đấu, hãy nạp thêm nếu cần!"
480		  "Máy chủ Đã đóng"
481       "Máy chủ sẽ tự động tắt trong %d giây"
482		  "Đây là một mục trùng lặp, liên hệ với Admin"
483       "Khóa trò chuyện của Bạn Đã kết thúc"
484       "Bạn sẽ rời game sau %d giây"
485       "Bạn Đã bật trạng thái chiến đấu với %s "
486       "Trạng thái chiến đấu với %s kết thúc"
487       "Máy chủ sẽ tự động tắt sau 1 phút"
488       "Máy chủ sẽ tự động tắt sau 3 phút"
489       "Máy chủ sẽ tự động tắt sau 5 phút"
490       "Trò Chơi sẽ bắt đầu tự động trong 10 giây"
491  " %s Đã thắng %d Jewel of Bless " 
492  " %s giết Fenix " 
493  "Bạn Đã giành %d điểm (s) của sự kiện và %d huy chương vàng "
494  " %s giết một vàng "
495  "Bạn Đã kiếm được %d điểm sự kiện (s) và %d huy chương vàng "
496  " %s giết các Erohin "
497  "Bạn Đã kiếm được %d điểm sự kiện (s) và %d huy chương vàng "  
                                                   
498     ""                                                                                                   
499  "Loại bỏ các errtels trước khi đưa "
500  "[Chiếm Thành] sự kiện bắt đầu "
501  "[Chiếm Thành] sự kiện kết thúc "
502  "[Chiếm Thành] bắt đầu sau %d phút (s) "
503  "[Chiếm Thành] Guild %s Đã chiếm lâu đài! "
504  "[Chiếm Thành] bắt đầu vào %d giây (s) "                                                             
505   ""                                                                                                   
506  "[Chiếm Thành]Bạn Không phải là thành viên của một Guild!"
507  "[Chiếm Thành]Guild của Bạn Đã sở hữu lâu đài! "
508  "[Chiếm Thành]Bạn đứng Không đúng tọa độ! "
509  "[Chiếm Thành]Guild của Bạn phải có ít nhất %d thành viên!"
510  "[Chiếm Thành]Xin chúc mừng! Guild của Bạn bây giờ sở hữu lâu đài!"
511  "[Chiếm Thành] kết thúc trong %d phút (s)! "                                                          
512     ""                                                                                                   
513     "[Xóa Hòm Đồ] thành công!"
514     "Mu Online, phát triển bởi TDA Team"
515     " %s đã giết %s !"
516     "[Quái Vật]%s đã giết %s !"                                                                                     
517     ""                                                                                         
518  "Bạn Không có quyền Sử Dụng /setvip "
519  "VIP thêm thành công! "
520  "Tài khoản này Không tồn tại! "
521  " %s Bạn Không còn cần sự giúp đỡ của tôi"
522  " %s kế hoạch VIP của Bạn Không cho phép việc Sử Dụng này buff "
523  " %s Zen yêu cầu: %d "
524  " %s có yêu cầu GPs: %d "
525  " %s Bạn cần phải ở trong gia đình Vanert "
526  " %s Bạn cần phải ở trong gia đình Duprian "
527  " %s Bạn cần phải ở trong gia đình Duprian "
528  " %s Bạn cần phải ở trong gia đình Vanert "
529  " %s yêu cầu các điểm gia đình: %d "
530  " %s thời gian: %d phút (s) "
531  " %s loại bỏ %d Zen "
532  " %s loại bỏ %d GP (s) "
533  " %s buff áp Dụng! "

537     "[System] Thank you for playing, you received %d WC"
538     "[System] Thank you for playing, you received %d WCP"
539     "[System] Thank you for playing, you received %d GP"
540     "[System] Thank you for playing, you received %d Ruud"
  
541     "Quỷ Thần"
542	"[%s] Oẳn Tù Tì giành chiến thắng, giàu to!"
543	"[Oẳn Tù Tì] Các bạn hòa nhau!"
544	"[OTT] Bạn ra cái Kéo, [%s] ra cái Búa => Bạn đã thua"
545	"[OTT] Bạn ra cái Búa, [%s] ra cái Kéo => Bạn đã thắng"
546	"[OTT] Bạn ra cái Bao, [%s] ra cái Kéo => Bạn đã thua"
547	"[OTT] Bạn ra cái Kéo, [%s] ra cái Bao => Bạn đã thắng"
548	"[OTT] Bạn ra cái Búa, [%s] ra cái Bao => Bạn đã thua"
549	"[OTT] Bạn ra cái Bao, [%s] ra cái Búa => Bạn đã thắng"
550	"Ngân Hàng Ngọc"  
551	"Trang Sức" 
552	"Set Hiệp Sĩ" 
553	"Ép Super Wing 3" 
554	"Ép VKR 2" 
555	"Ép VKR 3" 
556	"Event Sinh Tử" 
557	"Ép Nguyên Liệu VKR" 
558	"Sách Thuộc Tính" 
559	"Event Team vs Team" 
602  "Bạn có thể không kết hôn mình 0,0! "
603  "Bạn chỉ có kết hôn với %s! "
604  "Bạn đã kết hôn! "
605  "Các ký tự khác đã được lập gia đình! "
606  "Cách sử dụng: [/kết hôn đến tên |/Marry ly hôn |/kết hôn theo dõi hoặc Trace]! "
607  "Bạn không thể ly dị trong tuần đầu tiên của đang được kết hôn! "
608  "Bạn chỉ cần có ly dị! "
609  "Bạn không kết hôn! "
610  "Bạn theo dõi! "
611  "Bạn truy tìm! "
612  " %s chỉ kết hôn %s! "
613  " %s chỉ cần ly dị %s! "
614  "[Marry hệ thống] congragulations, "
615  "Giữa %s và %s! "
616  "[Marry hệ thống] không có Homo cho phép "
617  "Bạn cần ít nhất %d cấp để sử dụng lệnh này! "
618  "anh/cô ấy cần ít nhất %d cấp để sử dụng lệnh này! "
619  "Marry hệ thống đã bị vô hiệu! "
620  "Bạn cần ít nhất %d Zen để sử dụng lệnh này! "
621  "Bạn cần phải đứng ở vị trí chính xác trong DEVIAS2! "
622  "Mục tiêu của bạn cần phải đứng ở vị trí chính xác trong DEVIAS2! "
623  "Thông tin: [mức tối thiểu: %d | Theo dõi & Trace chi phí: %d Zen!  "
624  "Bạn không thể ly dị trong khi anh/cô ấy là bị ngắt kết nối! "
625  "Các ký tự khác là ngắt kết nối! "
626  "da %d được áp dụng cho %d người chơi! "
627  "Ký tự %s không phải là trực tuyến! "                                                                
628     ""                                                                                                   
629     ""                                                                                                 
630  "Bạn cần phải ở mức %d để sử dụng lệnh này! "
631  "Được phép sử dụng chỉ trong thành phố! "
632  "Bạn và đối thủ của bạn cần phải ở mức %d để đấu! "
633  "Lệnh không được kích hoạt cho tài khoản của bạn! "
634  "Lệnh: [/Class DW, DK, Ef, Mg, DL, Su] "
635  "Bạn phải chọn một Class khác với Class hiện tại của bạn! "
636  "Bạn phải cất hết Item vào thùng đồ để đổi Class! "
637  "Class không có sẵn! "
638  "Resets yêu cầu: %d! "
639  "[Gamemaster] %s đang online! "
640  " %s đã tham chiến! "
641  "Bạn không có quyền sử dụng! "
642  "Ký tự không tìm thấy! "
643  "Lệnh: [/premiar CHAR LOẠI GIÁ TRỊ]"
644  "Giải thưởng loại không có! "
645  "Giải thưởng giá trị lớn hơn được cho phép! "
646  "Giải thưởng thêm thành công! "
647  "Bạn không thể tự thưởng cho mình! "
648  "Lệnh: [/load | Ví dụ: /load all, common, monster, shop, command]"
649  "Reload thành công thực thi! "
650  "Lệnh: [/premiarall loại giá trị] "
651  "Tên phải có tối đa là 10 chữ cái. "
652  "Tên này đã tồn tại. "
653  "Chờ %d giây để sử dụng một lần nữa. "
654  "Tên đó đã tồn tại! "
655  "Đổi tên thành công! "
656  "Tên không thay đổi! "
657  "Ký tự %s đổi tên thành %s! "
658  "Bạn phải rời khỏi Guild để thay đổi tên. "
659  "Bạn không thể sử dụng ngay bây giờ. "
660  "[TÌM NPC] bắt đầu trong %s! "
661  "[TÌM NPC] sự kiện kết thúc trong %d phút! "
662  "[TÌM NPC] sự kiện này kết thúc trong %d giây (s)! "
663  "[TÌM NPC] người chiến thắng %s! "
664  "[TÌM NPC] kết thúc của sự kiện-không có người chiến thắng! "
665  "[TÌM NPC] chạy nhanh đến đây X=%d Y=%d gặp NPC và giao dịch nhận quà! "
666  "[TÌM NPC] kết thúc sự kiện-sự kiện hủy bỏ! "
667  "Ký tự không tìm thấy hoặc offline! "
668  "Tài khoản bị cấm thành công! "
669  "Nhân vật bị cấm thành công! "
670  "[Sự kiện] đóng trong %d giây (s) "
671  "[Sự kiện] thời gian để tham gia là hơn! "
672  "[Sự kiện] hủy bỏ! "
673  "[Sự kiện] %s bắt đầu một sự kiện! "
674  "[Sự kiện] nhập /thamgiaevent2 để tham gia event! "
675  "[Sự kiện] %s đã tham gia event! "
676  "[TÌM ADMIN] kết thúc trong %d giây (s) "
677  "[TÌM ADMIN] kết thúc mà không có người chiến thắng! "
678  "[TÌM ADMIN] hủy bỏ! "
679  "[TÌM ADMIN] %s bắt đầu sự kiện! "
680  "[TÌM ADMIN] tìm GM và giao dịch! "
681  "[TÌM ADMIN] %s giành được sự kiện! "
682  "[TÌM ADMIN] sự kiện này kết thúc trong %d phút (s)! "
683  "[Pegapega] đóng cửa! "
684  "[Pegapega] sự kiện bắt đầu. Chạy bị từ chối!  "
685  "[Pegapega] timed out! "
686  "[Pegapega] hủy bỏ! "
687  "[Pegapega] mở ra! "
688  "[Pegapega] nhập/wantto đi tham gia! "
689  "[Pegapega] tham gia %s nhập! "
690  "[Pegapega] %s giành được sự kiện! "
691  "[Pegapega] %s đã bị bắt! "
692  "[QUEST %d] Bạn cần phải đạt lvl %d hoặc hơn! "
693  "[QUEST %d] Bạn cần phải có %d Reset hoặc hơn! "
694  "[QUEST %d] Bạn cần phải có %d Master Reset hoặc hơn! "
695  "[QUEST %d] Bạn cần có %d Zen hoặc hơn! "
696  "[QUEST %d] Bạn phải đi đến %s (x %d, y %d)! "
697  "[QUEST %d] Bạn không có VIP cần thiết! "
698  "[QUEST %d] Yêu cầu: %s! "
699  "[QUEST %d] Bạn phải giết %d %s (mất tích: %d)! "
700  "[QUEST] Xin chúc mừng, bạn đã hoàn thành tất cả các nhiệm vụ! "
701  "[QUEST %d] đã hoàn thành! Bạn đã thắng: %d WCoinC, %d WCoinP, %d pcpoint!  "
702  "Xin chúc mừng bạn đã nhận được một món quà! "
703  "Bạn đã nhận được tất cả quà tặng của bạn! "
704  "[Roletarussa] đóng cửa! "
705  "[Roletarussa] sự kiện bắt đầu! "
706  "[Roletarussa] timed out! "
707  "[Roletarussa] bị hủy bỏ! "
708  "[Roletarussa] mở cửa (người tham gia tối đa: %d)! "
709  "[Roletarussa] loại/wantto đi tham gia! "
710  "[Roletarussa] tham gia %d: %s nhập! "
711  "[Roletarussa] %s giành được sự kiện! "
712  "[Roletarussa] đưa đạn vào thùng...! "
713  "[Roletarussa] quay trống...! "
714  "[Roletarussa] Engylhando...! "
715  "[Roletarussa] cháy! "
716  "[Roletarussa] HeadShot %s đã được loại bỏ! "
717  "[Roletarussa] %s đã thoát khỏi unharmed! "
718  "[Chiếm Thành] Trao giải thưởng!!!!"
719  "[Chiếm Thành] Bang hội %s đã thắng sự kiện!"
720  "[Chiếm Thành] Thời gian chủ sở hữu:%d phút!"
721  "[Chiếm Thành] Tất cả các thành viên bang hội trực tuyến đã kiếm được:"
722  "[Chiếm Thành] 10 WCOINC!!"
