//=================================================================================================================================================================================================================================================
// Wings 2.5
//=================================================================================================================================================================================================================================================
//In	IIndex	DefA	IncDmgA	IncDmgB	DecDmgA	DecDmgB	                Opt1	Opt1	Opt2	Opt2   	Opt3	Opt3	NewOpt1	NewOpt1	NewOpt2	NewOpt2	NewOpt3	NewOpt3	NewOpt4	NewOpt4	ModelType	ModelName         Class
13	6307	4	145     2       65      2	    80	4	85	1	83	4	110	10	111	10	109	10	108	10	1	        "WingsOfPower"    //All

//=================================================================================================================================================================================================================================================
//In	IIndex	DefA	IncDmgA	IncDmgB	DecDmgA	DecDmgB	                Opt1	Opt1	Opt2	Opt2   	Opt3	Opt3	NewOpt1	NewOpt1	NewOpt2	NewOpt2	NewOpt3	NewOpt3	NewOpt4	NewOpt4	ModelType	ModelName         Class
14	6308	4	145	    2	    65	    2	    80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "Wing52"   //All
15	6309	4	145	    2	    65	    2	    80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "Wing53"         //All
16	6310	30	145     2       65      2	    80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "Wing55"    //All
17	6311	30	145     2       65      2	    80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "Wing54"    //All
18	6312	30	145     2       65      2	    80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "GuncrahserWing3rd"    //All
19	6313	30	145     2       65      2	    80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "GuncrasherWing4th"    //All
20	6314	30	145     2       65      2	    80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "Wing106"    //All
21	6315	30	145     2       65      2	    80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "Wing107"    //All
22	6316	30	145     2       65      2	    80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "Wing108"    //All

////=================================================================================================================================================================================================================================================
//// Special Wings Slayer / Rune Wizard / GunCrasher
////=================================================================================================================================================================================================================================================
////In	IIndex	DefA	IncDmgA	IncDmgB	DecDmgA	DecDmgB	                Opt1	Opt1	Opt2	Opt2   	Opt3	Opt3	NewOpt1	NewOpt1	NewOpt2	NewOpt2	NewOpt3	NewOpt3	NewOpt4	NewOpt4	ModelType	ModelName         Class
//14	6431	4	145	    2	    65	    2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "Wing52"   //All
//15	6432	4	145	    2	    65	    2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "Wing53"         //All
//16	6433	30	145     2       65      2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "Wing55"    //All
//17	6434	30	145     2       65      2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "Wing54"    //All
//18	6435	30	145     2       65      2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "GuncrahserWing3rd"    //All
//19	6436	30	145     2       65      2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "GuncrasherWing4th"    //All
//=================================================================================================================================================================================================================================================
//// Custom
//=================================================================================================================================================================================================================================================
//In	IIndex	DefA	IncDmgA	IncDmgB	DecDmgA	DecDmgB	                Opt1	Opt1	Opt2	Opt2   	Opt3	Opt3	NewOpt1	NewOpt1	NewOpt2	NewOpt2	NewOpt3	NewOpt3	NewOpt4	NewOpt4	ModelType	ModelName         Class
//20	6437	30	145     2       65      2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "Wing106"    //All
//21	6438	30	145     2       65      2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "Wing107"    //All
//22	6439	30	145     2       65      2	                80	4	85	1	83	4	110	5	111	5	109	5	108	5	0	        "Wing108"    //All
end
