0
//Index   Year   Month   Day   DoW   Hour   Minute   Second
//-----------------------------------------------------------------
// PKEvent
4         *      *       *     *     2      25        0
4         *      *       *     *     3      25        0
4         *      *       *     *     4      25        0
4         *      *       *     *     5      25        0
4         *      *       *     *     6      25        0
4         *      *       *     *     7      25        0
4         *      *       *     *     8      25        0
4         *      *       *     *     9      25        0
4         *      *       *     *     10     25        0
4         *      *       *     *     11     25        0
4         *      *       *     *     12     25        0
4         *      *       *     *     13     25        0
4         *      *       *     *     14     25        0
4         *      *       *     *     15     25        0
4         *      *       *     *     16     25        0
4         *      *       *     *     17     25        0
4         *      *       *     *     18     25        0
4         *      *       *     *     19     25        0
4         *      *       *     *     20     25        0
4         *      *       *     *     21     25        0
4         *      *       *     *     22     25        0
4         *      *       *     *     23     25        0
//-----------------------------------------------------------------
// Sự Kiện Thỏ Ngọc =>> Thời Gian 
5         *      *       *     *     0      30        0
5         *      *       *     *     1      30        0
5         *      *       *     *     3      30        0
5         *      *       *     *     5      30        0
5         *      *       *     *     7      30        0
5         *      *       *     *     9      30        0
5         *      *       *     *     11     30        0
5         *      *       *     *     13     30        0
5         *      *       *     *     15     30        0
5         *      *       *     *     17     30        0
5         *      *       *     *     19     30        0
5         *      *       *     *     21     30        0
5         *      *       *     *     23     30        0
//-----------------------------------------------------------------
// Sự Kiện Mùa Hè =>> Thời Gian 
6         *      *       *     *     0      35        0
6         *      *       *     *     1      35        0
6         *      *       *     *     2      35        0
6         *      *       *     *     3      35        0
6         *      *       *     *     4      35        0
6         *      *       *     *     5      35        0
6         *      *       *     *     6      35        0
6         *      *       *     *     7      35        0
6         *      *       *     *     8      35        0
6         *      *       *     *     9      35        0
6         *      *       *     *     10     35        0
6         *      *       *     *     11     35        0
6         *      *       *     *     12     35        0
6         *      *       *     *     13     35        0
6         *      *       *     *     14     35        0
6         *      *       *     *     15     35        0
6         *      *       *     *     16     35        0
6         *      *       *     *     17     35        0
6         *      *       *     *     18     35        0
6         *      *       *     *     19     35        0
6         *      *       *     *     20     35        0
6         *      *       *     *     21     35        0
6         *      *       *     *     22     35        0
6         *      *       *     *     23     35        0
//-----------------------------------------------------------------
// Sự Kiện Santa =>> Thời Gian 
7         *      *       *     *     0      40        0
7         *      *       *     *     1      40        0
7         *      *       *     *     2      40        0
7         *      *       *     *     3      40        0
7         *      *       *     *     4      40        0
7         *      *       *     *     5      40        0
7         *      *       *     *     6      40        0
7         *      *       *     *     7      40        0
7         *      *       *     *     8      40        0
7         *      *       *     *     9      40        0
7         *      *       *     *     10     40        0
7         *      *       *     *     11     40        0
7         *      *       *     *     12     40        0
7         *      *       *     *     13     40        0
7         *      *       *     *     14     40        0
7         *      *       *     *     15     40        0
7         *      *       *     *     16     40        0
7         *      *       *     *     17     40        0
7         *      *       *     *     18     40        0
7         *      *       *     *     19     40        0
7         *      *       *     *     20     40        0
7         *      *       *     *     21     40        0
7         *      *       *     *     22     40        0
7         *      *       *     *     23     40        0
//-----------------------------------------------------------------
end

1
//Index   RespawnMessage   DespawnMessage   BossIndex   BossMessage   InvasionTime
//-----------------------------------------------------------------
// PKEvent 
// Bỏ
//0         192            875           55          202            280 // 4 Phút
//-----------------------------------------------------------------
// Sự Kiện Rồng Đỏ  
1         193              876           42           203           280
//-----------------------------------------------------------------
// Sự Kiện Boss Vàng  
2         194              877           501          204           280
//-----------------------------------------------------------------
// Sự Kiện Binh Đoàn Phù Thủy  
3         195              878           135          205           280
//-----------------------------------------------------------------
// Sự Kiện Junie 
4         196              879           365          954           280
//-----------------------------------------------------------------
// Sự Kiện Thỏ Ngọc  
5         197              880           413          952           280
//-----------------------------------------------------------------
// Sự Kiện Hỏa Diệm Quỷ  
6         198              881           463          953           280
//-----------------------------------------------------------------
// Sự Kiện Santa  
7         199              882           476          206           280
//-----------------------------------------------------------------
end

2
//Index   Group   Map   Value
//-----------------------------------------------------------------
// Sự Kiện Quỷ Xương
//0         0       1     0
//-----------------------------------------------------------------
// Sự Kiện Rồng Đỏ 
// OK
1         0       00    0
1         1       02    0
1         2       03    0
1         3       00    0
//-----------------------------------------------------------------
// Sự Kiện Boss Vàng 
// OK
2         0       00     0
2         1       02     0
2         2       02     0
2         3       03     0
2         4       51     0
2         5       7      0
2         6       7      0
2         7       8      0
2         8       8      0
2         9       00     0
2         10      02     0
2         11      02     0
2         12      03     0
2         13      51     0
2         14      7      0
2         15      7      0
2         16      8      0
2         17      8      0
2         18      7      0
2         19      8      0
//-----------------------------------------------------------------
// Sự Kiện Binh Đoàn Phù Thủy 
// OK
3         0       0     0
3         1       2     0
3         2       3     0
//-----------------------------------------------------------------
// Sự Kiện Junie
// Ok
4         0       07    0
//-----------------------------------------------------------------
// Sự Kiện Thỏ Ngọc 
5         0       00    0
5         1       03    0
5         2       51    0
5         3       08    0
//-----------------------------------------------------------------
// Sự Kiện Hỏa Diệm Quỷ 
6         0       00    0
6         1       03    0
6         2       02    0
6         3       08    0
//-----------------------------------------------------------------
// Sự Kiện Santa 
7         0       02    0
7         1       02    0
7         2       02    0
7         3       57    0
//-----------------------------------------------------------------
end

3
//Index   Group   MonsterClass   RegenType   RegenTime
//-----------------------------------------------------------------
// Sự Kiện Quỷ Xương
//0         0       55             0           0
//0         0       56             0           0
//-----------------------------------------------------------------
// Sự Kiện Rồng Đỏ
// Ok
1         0       42             0           0
1         1       42             0           0
1         2       42             0           0
1         3       42             0           0
//-----------------------------------------------------------------
// Sự Kiện Boss Vàng
// OK
2         0       43             0           0
2         1       53             0           0
2         2       54             0           0
2         3       78             0           0
2         4       79             0           0
2         5       80             0           0
2         6       81             0           0
2         7       82             0           0
2         8       83             0           0
2         9       493            0           0
2         10      494            0           0
2         11      495            0           0
2         12      496            0           0
2         13      497            0           0
2         14      498            0           0
2         15      499            0           0
2         16      500            0           0
2         17      501            0           0
2         18      502            0           0
2         19      502            0           0
//-----------------------------------------------------------------
// Sự Kiện Bình Đoàn Phù Thủy
// OK
3         0       135            0           0
3         0       136            0           0
3         0       137            0           0
3         1       135            0           0
3         1       136            0           0
3         1       137            0           0
3         2       135            0           0
3         2       136            0           0
3         2       137            0           0
//-----------------------------------------------------------------
// Sự Kiện Junie
// OK
4         0       365            0           0
//-----------------------------------------------------------------
// Sự Kiện Thỏ Ngọc
// OK
5         0       413            0           0
5         1       413            0           0
5         2       413            0           0
5         3       413            0           0
//-----------------------------------------------------------------
// Sự Kiện Hỏa Diệm Quỷ
6         0       463            0           0
6         1       463            0           0
6         2       463            0           0
6         3       463            0           0
//-----------------------------------------------------------------
// Sự Kiện Santa
7         0       466            0           0
7         0       476            0           0
7         1       466            0           0
7         1       476            0           0
7         2       466            0           0
7         2       476            0           0
7         3       466            0           0
7         3       476            0           0
//-----------------------------------------------------------------

end
