//=============================================================================================================================================================================================================================================================================================================================================================
// Item SEASON 6 + SEASON 15
//=============================================================================================================================================================================================================================================================================================================================================================
0
//============================================================================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//============================================================================================================================================================================================================================================================================================================================================================
26       0      22      1       4        1            1            1          "Hỏa Long Kiếm"  	                   137     115         126         40            90           0                 0                 380        193           53             0           0             0               0      0       2       0       0       0       0       0
27       0      22      1       4        1            1            1          "Bích Ngọc Kiếm"  	               133     91          99          35            90           0                 0                 380        53            176            0           0             0               0      0       2       0       0       0       0       0
28       0      56      1       4        1            1            1          "Bá Vương Kiếm"  	                   139     98          122         45            90           0                 109               380        91            73             17          0             0               0      0       0       0       1       0       0       0
//-----
29       0      22      1       4        1            1            0          "Linh Phong Kiếm"                    149     109         116         35            80           0                 0                 360        49            162            0           0             0               0      0       3       0       0       0       0       0
30       0      56      1       4        1            1            0          "Hỏa Kiếm"                           149     115         140         45            90           0                 112               360        86            70             16          0             0               0      0       0       0       3       0       0       0
//--
31       0      56      2       4        1            1            1          "Ảo Ảnh Đao"  	                   100     104         130         35            93           0                 104               0          135           62             9           0             0               0      0       0       0       1       0       0       0
32       0      260     1       2        1            1            1          "Nắm đấm Địa Long"                   52      52          58          25            65           0                 0                 0          85            35             0           0             0               0      0       0       0       0       0       0       1
33       0      261     1       2        1            1            1          "Nắm đấm Bạch Hổ"                    82      82          88          30            77           0                 0                 0          100           50             0           0             0               0      0       0       0       0       0       0       1
34       0      260     1       2        1            1            1          "Nắm đấm Quyền Lực"                  105     95          101         35            86           0                 0                 0          120           60             0           0             0               0      0       0       0       0       0       0       1
35	     0	    270	    1	    2	     1	          1	           1	      "Vuốt Phượng Hoàng"                  147	   183	       192	       40	         98	          0	                0	              380	     101	       51	          0	          0	            0	            0	   0	   0	   0	   0	   0	   0	   1	
//--
37       0      22      2       4        1            1            0          "Tình Kiếm"                          149     163         216         30            130          0                 0                 360        182           50             0           0             0               0      0       3       0       3       0       0       0
//--
42	     0	    22	    1	    4	     1	          1	           0	      "Bloodangel Sword"		           149	   329	       344	       40	         100	      0			        0		          360	     25	           18	          0	          0		        0	            0	   0       3       0       0       0       0       0
44	     0	    56	    1	    4	     1	          1		       0	      "Bloodangel Magic Sword"		       149	   315	       340	       45	         100	      0			        112		          360	     25		       18	   	      10	      0	            0		        0	   0       0       0       3       0       0       0
//--
51	     0	    22	    1	    4	     1	          1            0	      "Thiên Tử Kiếm(Cấp 2)"	           147	   369	       388	       40	         90	          0			        0		          0	         20           15		      0	          0	    	    0		        0	   0       3       0       0       0       0       0
52	     0	    22	    1	    4	     1	          1            0	      "Darkangel Sword"	                   149	   354	       365	       40	         90	          0			        0		          380	     35           20		      0	          0	    	    0		        0	   0       3       0       0       0       0       0
53	     0	    56	    1	    4	     1	          1		       0	      "Ác Ma Kiếm (Cấp 2)"		           149	   351	       361	       45	         90	          0			        70		          380	     35	          20	   	      12	      0	            0		        0	   0       0       0       3       0       0       0
55	     0	    22	    1	    4	     1	          1            0	      "Holyangel Sword"	                   149	   420	       431	       40	         90	          0			        0		          380	     54           25		      0	          0	    	    0		        0	   0       3       0       0       0       0       0
56	     0	    56	    1	    4	     1	          1		       0	      "Holyangel Magic Sword"		       149	   419	       430	       45	         90	          0			        73		          380	     54	          25	   	      14	      0	            0		        0	   0       0       0       3       0       0       0
58	     0	    22	    1	    4	     1	          1            0	      "Awakening Soul Sword"	           149	   450	       471	       40	         90	          0			        0		          380	     60           30		      0	          0	    	    0		        0	   0       3       0       0       0       0       0
59	     0	    56	    1	    4	     1	          1		       0	      "Awakening Soul Magic Sword"	       149	   449	       469	       45	         90	          0			        79		          380	     60	          30	   	      16	      0	            0		        0	   0       0       0       3       0       0       0
//--                                                                                                                                                                                                                                                                                                
45	     0	    56	    1	    4	     1	          1		       0	      "Silver Heart Magic Sword"	       149	   470	       491	       45	         90	          0			        79		          380	     60	          30	   	      16	      0	            0		        0	   0       0       0       3       0       0       0
46	     0	    22	    1	    4	     1	          1		       0	      "Silver Heart Short Sword"	       149	   451	       471	       45	         90	          0			        79		          380	     60	          30	   	      16	      0	            0		        0	   0       3       0       0       0       0       0
62	     0	    22	    1	    4	     1	          1		       0	      "Silver Heart Sword"	   	           149	   481	       501	       45	         90	          0			        79		          380	     60	          30	   	      16	      0	            0		        0	   0       3       0       0       0       0       0

69	     0	    22	    1	    4	     1	          1            0	      "Blue Eye Sword"	                   149	   455	       471	       40	         90	          0			        0		          380	     60           30		      0	          0	    	    0		        0	   0       3       0       0       0       0       0
70	     0	    56	    1	    4	     1	          1            0	      "Blue Eye Magic Sword"	           149     449	       469	       45	         90	          0			        85		          380	     60	          30	   	      16	      0	            0		        0	   0       0       0       3       0       0       0

//--                                                                                                                                                                                                                                                                                                
100	     0	    270	    1	    2	     1	          1	           0	      "Bloodangel Claw"			           147	   249	       268	       50	         98	          0			        0		          360	     63 	      43		      0	          0		        0		        0	   0       0       0       0       0       0       1
101      0      270     1       2        1            1            0          "Vuốt Song Long" 	                   147     249         268         50            98           0                 0                 380        63           43              0           0             0               0      0       0       0       0       0       0       1
102	     0	    270	    1	    2	     1	          1	           0	      "Darkangel Claws"			           149	   252	       262	       35	         90	          0			        0		          380	     63 	      43		      0	          0		        0		        0	   0       0       0       0       0       0       1
103	     0	    270	    1	    2	     1	          1	           0	      "Holyangel Claws"			           149	   320	       330	       35	         90	          0			        0		          380	     63  	      43		      0	          0		        0		        0	   0       0       0       0       0       0       1
104	     0	    270	    1	    2	     1	          1	           0	      "Awakening Soul Claws"	           149	   340	       350	       35	         90	          0			        0		          380	     63	          43		      0	          0		        0		        0	   0       0       0       0       0       0       1
105	     0	    270	    1	    2	     1	          1	           0	      "Archangel Absolute Claws"	       100	   221	       230	       35	         90	          0			        0		          380        63 	      43		      0	          0		        0		        0	   0       0       0       0       0       0       1
106	     0	    270	    1	    2	     1	          1	           0	      "Nắm Đấm Rồng (Cấp 2)"	           149	   236	       247	       35	         90	          0			        0		          380	     63  	      43		      0	          0		        0		        0	   0       0       0       0       0       0       1
107	     0	    270	    1	    2	     1	          1	           0	      "Pantera Claws"	                   139	   259	       278	       40	         90	          0			        0		          380	     63	          43		      0	          0		        0		        0	   0       0       0       0       0       0       1
108	     0	    270	    1	    2	     1	          1	           0	      "Devast Claws"	                   145	   265	       284	       40	         90	          0			        0		          380	     63 	      43		      0	          0		        0		        0	   0       0       0       0       0       0       1                                                                                                                                                                                                                                                                                                
109	     0	    270	    1	    2	     1	          1	           0	      "Blue Eye Claws"	                   145	   370	       380	       40	         90	          0			        0		          380	     63 	      43		      0	          0		        0		        0	   0       0       0       0       0       0       1
110	     0	    270	    1	    2	     1	          1	           0	      "Silver Heart Claws"	               145	   400	       411	       40	         90	          0			        0		          380	     63 	      43		      0	          0		        0		        0	   0       0       0       0       0       0       1
end

1
//============================================================================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//============================================================================================================================================================================================================================================================================================================================================================
0        0      0       1       3        1            1            1          "Rìu Nhỏ"  		                       1       1           6           20            18           0                 0                 0          50            0              0           0             0               0      1       1       1       1       1       1       1
1        0      0       1       3        1            1            1          "Rìu Nhẹ"  		                       4       4           9           30            20           0                 0                 0          70            0              0           0             0               0      1       1       1       1       1       1       1
2        0      19      1       3        1            1            1          "Rìu Lưỡi Hái"                          14      14          24          20            26           0                 0                 0          90            0              0           0             0               0      0       1       0       1       1       0       0
3        0      19      1       3        1            1            1          "Rìu Thợ Săn"  	                       18      18          28          30            28           0                 0                 0          100           0              0           0             0               0      0       1       0       1       1       0       1
4        0      0       1       3        1            1            1          "Rìu Tiên Nữ"  	                       26      26          38          40            32           0                 0                 0          50            70             0           0             0               0      1       0       1       1       0       1       0
5        0      19      2       3        1            1            1          "Rìu Chiến"  	                          30      36          44          20            36           0                 0                 0          120           0              0           0             0               0      0       1       1       1       0       0       0
6        0      19      2       3        1            1            1          "Rìu Lưỡi Bạc"                          34      38          50          30            44           0                 0                 0          130           0              0           0             0               0      0       1       1       1       0       0       0
7        0      19      2       3        1            1            1          "Rìu Lưỡi Vàng"                         46      54          67          25            55           0                 0                 0          140           0              0           0             0               0      0       1       0       1       0       0       0
8        0      19      2       3        1            1            1          "Rìu Bán Nguyệt"                        54      69          89          30            65           0                 0                 0          100           40             0           0             0               0      1       1       0       1       0       0       0
end

2
//============================================================================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//============================================================================================================================================================================================================================================================================================================================================================
0        0      0       1       3        1            1            1          "Chùy"  					       7       7           13          15            21           0                 0                 0          100           0              0           0             0               0      0       1       0       1       1       0       1
1        0      19      1       3        1            1            1          "Chùy Gai"  				       13      13          22          15            25           0                 0                 0          100           0              0           0             0               0      0       1       0       1       1       0       1
2        0      0       1       3        1            1            1          "Chùy Dây"  				       22      22          32          15            32           0                 0                 0          80            50             0           0             0               0      0       1       0       1       1       0       1
3        0      19      2       3        1            1            1          "Bùa Chiến"  				       38      45          56          15            50           0                 0                 0          150           0              0           0             0               0      0       1       0       1       0       0       1
4        0      19      2       3        1            1            1          "Chùy Băng"  				       66      78          107         30            72           0                 0                 0          130           0              0           0             0               0      1       1       1       1       0       0       1
5        0      23      2       4        1            1            1          "Kiếm Băng"  				       72      89          120         40            76           0                 0                 0          130           70             0           0             0               0      1       1       1       1       0       0       0
6        0      23      2       4        1            1            0          "Rìu Hỏa Long"  			       75      102         130         35            80           0                 0                 0          140           50             0           0             0               0      0       1       0       1       0       0       0
7        0      0       1       3        1            1            1          "Chùy Thánh Nữ"  			       90      62          80          50            50           0                 0                 0          15            42             0           0             0               0      0       0       2       0       0       0       0
8        0      66      1       3        1            1            1          "Quyền Trượng Chiến"  	       54      41          52          45            40           0                 3                 0          80            17             0           0             0               0      0       0       0       0       1       0       0
9        0      66      1       3        1            1            1          "Quyền Trượng Thép"  		       72      57          68          45            45           0                 20                0          87            18             0           0             0               0      0       0       0       0       1       0       0
10       0      66      1       4        1            1            1          "Quyền Trượng Bóng Tối"  	       82      74          85          45            65           0                 35                0          100           21             0           0             0               0      0       0       0       0       1       0       0
11       0      66      1       4        1            1            1          "Quyền Trượng Kim Cương"         98      91          102         40            72           0                 52                0          105           23             0           0             0               0      0       0       0       0       1       0       0
12       0      66      1       4        1            1            1          "Quyền Trượng Đại Vương"         140     108         120         40            84           0                 67                0          90            20             0           0             0               0      0       0       0       0       1       0       0
13       0      66      1       4        1            1            1          "Quyền Trượng Thiên Tử"  	       150     200         223         45            90           0                 138               0          75            16             0           0             0               0      0       0       0       0       1       0       0
14       0      66      1       4        1            1            1          "Quyền Trượng Thái Dương"        146     130         153         40            95           0                 84                380        80            15             0           0             0               0      0       0       0       0       1       0       0
15       0      66      1       4        1            1            1          "Quyền Trượng Tối Cao"  	       110     99          111         40            78           0                 60                0          108           22             0           0             0               0      0       0       0       0       1       0       0
16       0      0       1       3        1            1            1          "Chùy Băng Tinh"  		       121     106         146         50            80           0                 0                 380        27            19             0           0             0               0      0       0       2       0       0       0       0
17       0      66      1       4        1            1            1          "Lôi Phong Trượng"  		       135     114         132         40            90           0                 72                380        119           24             0           0             0               0      0       0       0       0       1       0       0
18       0      66      1       4        1            1            1          "Quyền Trượng Băng Giá"  	       147     112         124         40            86           0                 70                0          87            20             0           0             0               0      0       0       0       0       1       0       0
//--
19       0      66      1       4        1            1            0          "Thunderbolt"                        149     127         154         40            78           0                 76                360        111           22             0           0             0               0      0       0       0       0       1       0       0
20       0      19      2       4        1            1            0          "Horn of Steal"                      149     177         206         25            120          0                 0                 360        182           50             0           0             0               0      0       3       0       0       0       0       0
//--
22	     0	    66	    1	    4	     1	          1	           0	      "Bloodangel Scepter"		           149	   257	       274	       40	         78	          0	                76	              360	     100	       20	          0	          0	            0	            0	   0       0       0       0       1       0       0
25	     0	    66	    1	    4	     1	          1	           0	      "Quyền Trượng Rồng(Cấp 2)"       150	   300	       305	       45	         90	          0	                128	              0	         90	           15	          0	          0	            0	            1	   0       0       0       0       1       0       0
26	     0	    66	    1	    4	     1	          1	           0	      "Darkangel Scepter"		           149	   287	       298	       40	         90	          0	                130	              380	     110	       25	          0	          0	            0	            0	   0       0       0       0       1       0       0
27	     0	    66	    1	    4	     1	          1	           0	      "Holyangel Scepter"		           149	   310	       315	       40	         90	          0	                132	              380	     120	       30	          0	          0	            0	            0	   0       0       0       0       1       0       0
28	     0	    66	    1	    4	     1	          1	           0	      "Soul Scepter"		               149	   340	       375	       40	         90	          0	                132	              380	     130	       40	          0	          0	            0	            0	   0       0       0       0       1       0       0
29	     0	    66	    1	    4	     1	          1	           0	      "Blue Eye Scepter"		           149	   350	       385	       40	         90	          0	                135	              380	     135	       45	          0	          0	            0	            0	   0       0       0       0       1       0       0
//--                                                                                                                                                                                                                                                                  
30	     0	    66	    1	    4	     1	          1	           0	      "Silver Heart Mace"		           149	   370	       395	       40	         90	          0	                135	              380	     135	       45	          0	          0	            0	            0	   0       1       0       0       1       0       0
31	     0	    66	    1	    4	     1	          1	           0	      "Silver Heart Scepter"		       149	   390	       425	       40	         90	          0	                135	              380	     135	       45	          0	          0	            0	            0	   0       0       0       0       1       0       0
end

3
//============================================================================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//============================================================================================================================================================================================================================================================================================================================================================
0        0      22      2       4        1            1            1          "Giáo Ánh Sáng"  	                     42      50          63          25            56           0                 0                 0          60            70             0           0             0               0      0       1       1       1       0       0       0
1        0      0       2       4        1            1            1          "Giáo"  			                     23      30          41          30            42           0                 0                 0          70            50             0           0             0               0      0       1       1       1       0       0       0
2        0      0       2       4        1            1            1          "Thương"  		                    15      21          33          30            34           0                 0                 0          70            50             0           0             0               0      0       1       1       1       0       0       0
3        0      0       2       4        1            1            1          "Đinh Ba"  		                    29      35          43          25            44           0                 0                 0          90            30             0           0             0               0      0       1       1       1       0       0       0
4        0      20      2       4        1            1            1          "Xà Giáo"  		                    46      58          80          20            58           0                 0                 0          90            30             0           0             0               0      0       1       1       1       0       0       0
5        0      0       2       4        1            1            1          "Giáo Hai Lưỡi"  	                     13      19          31          30            38           0                 0                 0          70            50             0           0             0               0      0       1       1       1       0       0       0
6        0      0       2       4        1            1            1          "Kích"  			                     19      25          35          30            40           0                 0                 0          70            50             0           0             0               0      0       1       1       1       0       0       0
7        0      22      2       4        1            1            1          "Kích Hai Đầu"  	                     37      42          54          30            54           0                 0                 0          80            50             0           0             0               0      0       1       1       1       0       0       0
8        0      22      2       4        1            1            1          "Lưỡi Hái"  		                     54      71          92          25            68           0                 0                 0          90            50             0           0             0               0      0       1       1       1       0       0       0
9        0      22      2       4        1            1            1          "Lưỡi Hái Tử Thần"                     63      76          102         25            74           0                 0                 0          80            50             0           0             0               0      0       1       1       1       0       0       0
10       0      22      2       4        1            1            1          "Đại Long Đao"  	                     92      112         140         35            85           0                 0                 0          170           60             0           0             0               0      0       2       0       0       0       0       0
11       0      22      2       4        1            1            1          "Vuốt Quỷ"  		                     147     190         226         40            90           0                 0                 0          152           25             0           0             0               0      0       2       0       1       0       0       0
//--
12       0      20      2       4        1            1            0          "Magmus Peer"                        149     135         236         35            85           0                 0                 360        49            162            0           0             0               0      0       3       0       0       0       0       0
13       0      20      2       4        1            1            0          "Silver Heart Lance"                 149     235         336         35            85           0                 0                 360        49            162            0           0             0               0      0       3       0       3       3       0       0
end

4
//============================================================================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//============================================================================================================================================================================================================================================================================================================================================================
0        1      24      2       3        1            1            1          "Cung Nhỏ"  		       2       3           5           30            20           0                 0                 0          10            10             0           0             0               0      0       0       1       0       0       0       0
1        1      24      2       3        1            1            1          "Cung"  			       8       9           13          30            24           0                 0                 0          20            10             0           0             0               0      0       0       1       0       0       0       0
2        1      24      2       3        1            1            1          "Cung Hoa"  		       16      17          24          30            28           0                 0                 0          20            10             0           0             0               0      0       0       1       0       0       0       0
3        1      24      2       3        1            1            1          "Cung Chiến"  	       26      28          37          30            36           0                 0                 0          20            10             0           0             0               0      0       0       1       0       0       0       0
